,0
FRA Architectural and engineering activities; technical testing and analysis,964.5
FRA Scientific research and development,1052.3
FRA Advertising and market research,786.3
"FRA Other professional, scientific and technical activities; veterinary activities",272.3
FRA Administrative and support service activities,3376.1
FRA Public administration and defence; compulsory social security,6835.7
FRA Education,4554.4
FRA Human health and social work activities,6518.3
FRA Other service activities,4273.5
FRA Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,0.0
FRA Activities of extraterritorial organizations and bodies,0.0
"GBR Crop and animal production, hunting and related service activities",6580.7
GBR Forestry and logging,47.1
GBR Fishing and aquaculture,736.2
GBR Mining and quarrying,24016.9
"GBR Manufacture of food products, beverages and tobacco products",8088.9
"GBR Manufacture of textiles, wearing apparel and leather products",1977.5
"GBR Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",1337.4
GBR Manufacture of paper and paper products,5138.7
GBR Printing and reproduction of recorded media,945.7
GBR Manufacture of coke and refined petroleum products ,19323.3
GBR Manufacture of chemicals and chemical products ,16764.6
GBR Manufacture of basic pharmaceutical products and pharmaceutical preparations,1152.7
GBR Manufacture of rubber and plastic products,3046.8
GBR Manufacture of other non-metallic mineral products,17156.3
GBR Manufacture of basic metals,26349.8
"GBR Manufacture of fabricated metal products, except machinery and equipment",3093.8
"GBR Manufacture of computer, electronic and optical products",585.8
GBR Manufacture of electrical equipment,813.3
